"channel_from","channel_to","transition_probability"
"7","19",0.00552486187845304
"7","14",0.0220994475138122
"7","18",0.00552486187845304
"8","5",0.0337078651685393
"8","9",0.0898876404494382
"8","1",0.0786516853932584
"8","(conversion)",0.0636704119850187
"8","2",0.217228464419476
"8","16",0.0411985018726592
"8","4",0.0786516853932584
"8","7",0.0337078651685393
"8","13",0.0786516853932584
"8","12",0.0561797752808989
"8","11",0.0674157303370786
"8","15",0.0224719101123595
"8","6",0.0561797752808989
"8","14",0.0224719101123595
"8","3",0.0337078651685393
"8","18",0.00374531835205993
"8","17",0.0187265917602996
"8","19",0.00374531835205993
"9","2",0.204413472706156
"9","17",0.0255516840882695
"9","5",0.0150987224157956
"9","(conversion)",0.0824622531939605
"9","11",0.0894308943089431
"9","15",0.0255516840882695
"9","16",0.0859465737514518
"9","3",0.0569105691056911
"9","12",0.0255516840882695
"9","4",0.197444831591173
"9","13",0.0511033681765389
"9","7",0.0127758420441347
"9","8",0.0150987224157956
"9","6",0.0139372822299652
"9","1",0.0882694541231127
"9","19",0.00116144018583043
"9","14",0.00813008130081301
"9","18",0.00116144018583043
"19","(conversion)",0.15625
"19","2",0.296875
"19","1",0.109375
"19","11",0.015625
"19","3",0.03125
"19","5",0.015625
"19","8",0.015625
"19","12",0.03125
"19","16",0.0625
"19","13",0.109375
"19","9",0.0625
"19","4",0.0625
"19","17",0.015625
"19","14",0.015625
"18","2",0.625
"18","(conversion)",0.0833333333333333
"18","4",0.0833333333333333
"18","1",0.125
"18","16",0.0416666666666667
"18","13",0.0416666666666667
